datetime,open,high,low,close,volume
2025-01-17 17:00:00,1.02862,1.02912,1.02786,1.02809,5250
2025-01-17 18:00:00,1.02809,1.02922,1.02791,1.02809,3452
2025-01-17 19:00:00,1.02810,1.02843,1.02726,1.02763,3252
2025-01-17 20:00:00,1.02762,1.02816,1.02737,1.02753,3345
2025-01-17 21:00:00,1.02752,1.02752,1.02690,1.02699,1153
2025-01-19 22:00:00,1.02767,1.02821,1.02730,1.02792,1113
2025-01-19 23:00:00,1.02794,1.02806,1.02662,1.02805,1793
2025-01-20 00:00:00,1.02805,1.02902,1.02782,1.02864,2662
2025-01-20 01:00:00,1.02862,1.02929,1.02791,1.02908,2998
2025-01-20 02:00:00,1.02908,1.02924,1.02868,1.02911,2415
2025-01-20 03:00:00,1.02911,1.03064,1.02909,1.03061,2555
2025-01-20 04:00:00,1.03061,1.03071,1.03017,1.03043,1434
2025-01-20 05:00:00,1.03042,1.03064,1.03017,1.03024,1489
2025-01-20 06:00:00,1.03025,1.03189,1.02993,1.03104,3244
2025-01-20 07:00:00,1.03105,1.03185,1.03058,1.03168,4657
2025-01-20 08:00:00,1.03168,1.03177,1.03069,1.03099,6208
2025-01-20 09:00:00,1.03099,1.03170,1.03050,1.03062,5922
2025-01-20 10:00:00,1.03063,1.03224,1.03063,1.03151,4306
2025-01-20 11:00:00,1.03151,1.03265,1.03131,1.03260,3556
2025-01-20 12:00:00,1.03260,1.03265,1.03151,1.03203,3949
2025-01-20 13:00:00,1.03203,1.04003,1.03081,1.03982,21341
2025-01-20 14:00:00,1.03981,1.04303,1.03794,1.04151,18305
2025-01-20 15:00:00,1.04151,1.04300,1.03848,1.04005,13630
2025-01-20 16:00:00,1.04005,1.04059,1.03905,1.03984,6015
2025-01-20 17:00:00,1.03984,1.04027,1.03534,1.03856,9843
2025-01-20 18:00:00,1.03856,1.03966,1.03833,1.03965,2472
2025-01-20 19:00:00,1.03966,1.04235,1.03905,1.04208,2835
2025-01-20 20:00:00,1.04208,1.04344,1.04119,1.04162,4026
2025-01-20 21:00:00,1.04162,1.04194,1.04099,1.04158,1932
2025-01-20 22:00:00,1.04093,1.04175,1.04093,1.04127,520
2025-01-20 23:00:00,1.04132,1.04259,1.04110,1.04209,4301
2025-01-21 00:00:00,1.04209,1.04344,1.03520,1.03625,13678
2025-01-21 01:00:00,1.03625,1.03978,1.03558,1.03702,15492
2025-01-21 02:00:00,1.03702,1.03902,1.03692,1.03876,6175
2025-01-21 03:00:00,1.03876,1.04011,1.03852,1.03875,4521
2025-01-21 04:00:00,1.03875,1.03991,1.03850,1.03898,3068
2025-01-21 05:00:00,1.03898,1.03922,1.03773,1.03787,2467
2025-01-21 06:00:00,1.03787,1.03815,1.03664,1.03689,3991
2025-01-21 07:00:00,1.03689,1.03863,1.03649,1.03733,6015
2025-01-21 08:00:00,1.03733,1.03733,1.03500,1.03608,6766
2025-01-21 09:00:00,1.03608,1.03637,1.03418,1.03536,8213
2025-01-21 10:00:00,1.03536,1.03595,1.03431,1.03530,6786
2025-01-21 11:00:00,1.03530,1.03581,1.03429,1.03533,5006
2025-01-21 12:00:00,1.03533,1.03582,1.03457,1.03541,7727
2025-01-21 13:00:00,1.03541,1.03780,1.03528,1.03777,7795
2025-01-21 14:00:00,1.03783,1.03986,1.03728,1.03869,10465
2025-01-21 15:00:00,1.03869,1.04106,1.03785,1.04005,12257
2025-01-21 16:00:00,1.04005,1.04230,1.03982,1.04225,7815
2025-01-21 17:00:00,1.04225,1.04302,1.04211,1.04213,5120
2025-01-21 18:00:00,1.04213,1.04355,1.04198,1.04291,3977
2025-01-21 19:00:00,1.04291,1.04305,1.04161,1.04179,3236
2025-01-21 20:00:00,1.04179,1.04216,1.04157,1.04201,2573
2025-01-21 21:00:00,1.04201,1.04298,1.04187,1.04254,1652
2025-01-21 22:00:00,1.04247,1.04329,1.04235,1.04264,1228
