datetime,open,high,low,close,volume
2025-08-28 05:00:00,1.16397,1.16404,1.16386,1.16396,304
2025-08-28 05:15:00,1.16397,1.16408,1.16383,1.16400,317
2025-08-28 05:30:00,1.16398,1.16403,1.16356,1.16366,463
2025-08-28 05:45:00,1.16367,1.16398,1.16359,1.16373,468
2025-08-28 06:00:00,1.16372,1.16442,1.16361,1.16420,631
2025-08-28 06:15:00,1.16420,1.16452,1.16361,1.16383,595
2025-08-28 06:30:00,1.16384,1.16415,1.16338,1.16397,757
2025-08-28 06:45:00,1.16396,1.16446,1.16383,1.16429,587
2025-08-28 07:00:00,1.16429,1.16495,1.16403,1.16429,1054
2025-08-28 07:15:00,1.16428,1.16445,1.16367,1.16386,769
2025-08-28 07:30:00,1.16386,1.16405,1.16337,1.16395,856
2025-08-28 07:45:00,1.16395,1.16452,1.16373,1.16437,712
2025-08-28 08:00:00,1.16435,1.16455,1.16306,1.16344,948
2025-08-28 08:15:00,1.16342,1.16381,1.16313,1.16326,786
2025-08-28 08:30:00,1.16326,1.16432,1.16289,1.16409,755
2025-08-28 08:45:00,1.16410,1.16436,1.16392,1.16423,546
2025-08-28 09:00:00,1.16424,1.16491,1.16424,1.16466,638
2025-08-28 09:15:00,1.16466,1.16491,1.16457,1.16464,626
2025-08-28 09:30:00,1.16465,1.16545,1.16448,1.16500,602
2025-08-28 09:45:00,1.16501,1.16505,1.16461,1.16488,651
2025-08-28 10:00:00,1.16487,1.16550,1.16480,1.16534,568
2025-08-28 10:15:00,1.16534,1.16666,1.16531,1.16644,873
2025-08-28 10:30:00,1.16645,1.16733,1.16639,1.16722,777
2025-08-28 10:45:00,1.16721,1.16748,1.16696,1.16714,587
2025-08-28 11:00:00,1.16710,1.16736,1.16628,1.16652,816
2025-08-28 11:15:00,1.16652,1.16705,1.16615,1.16680,561
2025-08-28 11:30:00,1.16679,1.16701,1.16621,1.16622,708
2025-08-28 11:45:00,1.16622,1.16679,1.16593,1.16664,804
2025-08-28 12:00:00,1.16665,1.16767,1.16661,1.16745,1006
2025-08-28 12:15:00,1.16744,1.16750,1.16683,1.16687,996
2025-08-28 12:30:00,1.16687,1.16871,1.16623,1.16826,2311
2025-08-28 12:45:00,1.16827,1.16865,1.16655,1.16696,2257
2025-08-28 13:00:00,1.16695,1.16716,1.16602,1.16649,1681
2025-08-28 13:15:00,1.16649,1.16678,1.16603,1.16616,994
